% Model:              VALIDATE_ZY_BSQ111.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 15 2026, 11:24
% Dimension:          1
% Nodes:              15
% Expressions:        1
% Description:        Global
% freq (Hz)               real((s_xx+s_yy+s_zz)/(e_xx+e_yy+e_zz))/3      real(s_xz/e_xz)/2/1e9
1                         44.76717316922731
3.1622776601683795        44.767175357120145
10                        44.767194587155686
31.622776601683793        44.767316723861036
100                       44.76786854077179
316.22776601683796        44.76941153151527
1000                      44.77254935841022
3162.2776601683795        44.77992834040054
10000                     44.80893751729496
31622.776601683792        45.00303727577134
100000                    46.39406270671749
316227.7660168379         50.521565590965224
1000000                   52.796928381583605
3162277.6601683795        53.332080276611876
10000000                  53.63688062638128
